endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k,is_tox
HalfLife,excretion,descriptors,random,hgb,shap,lime,0.0599381043538883,0.1023513805159526,0.0851580632147888,0.1400277269601768,0.1013831556014218,0.0717505409319499,10,False
HalfLife,excretion,descriptors,random,mlp,ig,lime,0.1890677446256984,0.1043602575438054,0.2772795343401152,0.1427908357346588,0.0848354546496961,0.0728856954309188,10,False
CL-Hepa,excretion,descriptors,scaffold,rf,shap,lime,0.0607006334451766,0.0471902252659826,0.0894625986997024,0.0688824748927958,0.1666758808786672,0.0685149773042615,10,False
CL-Hepa,excretion,descriptors,scaffold,hgb,shap,lime,0.0660996023186694,0.0445592142119813,0.0956302946272015,0.0636804399731067,0.1108508608121611,0.0841060846474953,10,False
CL-Hepa,excretion,descriptors,scaffold,mlp,ig,lime,0.1295566758331457,0.0610289473365453,0.1932753291746715,0.0904673990977301,0.023214080954019,0.0339915870484707,10,False
CL-Hepa,excretion,descriptors,random,rf,shap,lime,0.0589029423639729,0.0461430198734025,0.0876559545311418,0.067674966377028,0.1804910560715514,0.0697158867659377,10,False
CL-Hepa,excretion,descriptors,random,hgb,shap,lime,0.0643752770931496,0.0531965099686946,0.0927984488825222,0.0755471970042422,0.1349873867675725,0.0849228973835168,10,False
CL-Hepa,excretion,descriptors,random,mlp,ig,lime,0.1539789877016514,0.0579989092160401,0.2302928842703318,0.0863554718844242,0.0437965829606696,0.0480276704043332,10,False
DILI,toxicity,ecfp,scaffold,rf,shap,lime,0.0156530356793805,0.0159303558338355,0.0229910624066543,0.0232034522775176,0.228673525190553,0.1009446967404639,10,True
DILI,toxicity,ecfp,scaffold,hgb,shap,lime,0.0462790375291274,0.017019283410513,0.0573642841361905,0.0210358371923509,0.0905400756793945,0.0533715471803555,10,True
DILI,toxicity,ecfp,scaffold,mlp,ig,lime,0.0332242163697907,0.0181949684383429,0.0496171066907107,0.0270588755780545,0.0169762641898864,0.0311372192617641,10,True
DILI,toxicity,ecfp,random,rf,shap,lime,0.0189954399842579,0.0152852827903561,0.0278805313838598,0.0223002993931866,0.2452683210036151,0.0955700542625761,10,True
DILI,toxicity,ecfp,random,hgb,shap,lime,0.0546333250642009,0.016613677614723,0.0677106928265998,0.0205190171532373,0.108115468409586,0.0773197525241783,10,True
DILI,toxicity,ecfp,random,mlp,ig,lime,0.0364652565333003,0.0161680697907174,0.0543517282103939,0.0240297918273296,0.0265623208347666,0.0447408984996144,10,True
hERG,toxicity,ecfp,scaffold,rf,shap,lime,0.0176246670709818,0.0138007480012298,0.025877469235719,0.0201283597581085,0.2385660292007041,0.1011827807470955,10,True
hERG,toxicity,ecfp,scaffold,hgb,shap,lime,0.0313115452275153,0.0163827283573103,0.0393259027253639,0.0204955278342237,0.0726106524481137,0.0586296643323575,10,True
hERG,toxicity,ecfp,scaffold,mlp,ig,lime,0.0302376366634849,0.0156945750842005,0.045158458823813,0.023399367830974,0.0088693957115009,0.0222809234604623,10,True
hERG,toxicity,ecfp,random,rf,shap,lime,0.0195323977658323,0.0160828231974065,0.0286322897207737,0.02350269040231,0.2437265549494651,0.082729479990328,10,True
hERG,toxicity,ecfp,random,hgb,shap,lime,0.0355989962884171,0.019367843958933,0.0446349023970925,0.0242240388490656,0.0587604632496273,0.0515002480552312,10,True
hERG,toxicity,ecfp,random,mlp,ig,lime,0.0314892754936638,0.0157654298906472,0.0470078350029199,0.0234554299054543,0.0106237816764132,0.0235494606487391,10,True
AMES,toxicity,ecfp,scaffold,rf,shap,lime,0.0208851809837616,0.0131348354683032,0.0312077545257435,0.0195221857828187,0.1924928743427195,0.0977938718780955,10,True
AMES,toxicity,ecfp,scaffold,hgb,shap,lime,0.0193234978230719,0.0157939588952459,0.0268027435676478,0.0218360880022651,0.063787123036349,0.05553245805658,10,True
AMES,toxicity,ecfp,scaffold,mlp,ig,lime,0.0274583742766847,0.0143146249518652,0.0411916443804345,0.0213474179907691,0.0089668615984405,0.0246602177011594,10,True
AMES,toxicity,ecfp,random,rf,shap,lime,0.0237927586578278,0.018088334110746,0.0355592355201295,0.0268248903799539,0.1571503545187755,0.0990056652281968,10,True
AMES,toxicity,ecfp,random,hgb,shap,lime,0.0220970852952666,0.0154811835979965,0.0306404949569136,0.0214125389027234,0.0926405064949956,0.0901148228399904,10,True
AMES,toxicity,ecfp,random,mlp,ig,lime,0.0300391089894592,0.0155320378220055,0.0450491801914442,0.0232398229577349,0.017933723196881,0.0324875893270949,10,True
LD50,toxicity,ecfp,scaffold,rf,shap,lime,0.0057606340725015,0.0182593014380977,0.0086344083500676,0.0273005706036938,0.1199618736383442,0.0258911603697933,10,True
LD50,toxicity,ecfp,scaffold,hgb,shap,lime,0.0119385778802231,0.0156444561806182,0.0167063097935427,0.0217942403658773,0.0769865841073271,0.0435370070962956,10,True
LD50,toxicity,ecfp,scaffold,mlp,ig,lime,0.0276628621916218,0.0155498485343491,0.0414842345704921,0.0232772484215198,0.0098440545808966,0.0252545755282227,10,True
LD50,toxicity,ecfp,random,rf,shap,lime,0.0115743326976861,0.0157313509429709,0.0173511345827052,0.0235965210987649,0.1129019444034923,0.0780274851281425,10,True
LD50,toxicity,ecfp,random,hgb,shap,lime,0.0153142457736799,0.0152634277357461,0.0215251309199821,0.0213748229882292,0.1408515632973837,0.1254203030786284,10,True
LD50,toxicity,ecfp,random,mlp,ig,lime,0.0271432377358608,0.0166001796397711,0.0407974459532231,0.0249492922128189,0.0209551656920077,0.0525805651262138,10,True
Caco2,absorption,ecfp,scaffold,rf,shap,lime,0.0132734586564357,0.0151504915863044,0.0198050830452314,0.0224280952148902,0.183276614739463,0.0741675999421895,10,False
Caco2,absorption,ecfp,scaffold,hgb,shap,lime,0.0286273029736154,0.0154615081710028,0.0364407924557832,0.0196759653952123,0.1207229675495929,0.0716592888066496,10,False
Caco2,absorption,ecfp,scaffold,mlp,ig,lime,0.0225961433959412,0.0191775190140867,0.0337616075881469,0.0285948297616758,0.0428497714875423,0.1047873846922724,10,False
Caco2,absorption,ecfp,random,rf,shap,lime,0.0153620146079588,0.0155277968993505,0.0229259996971308,0.0229628439438495,0.1341546267629859,0.0698916280362867,10,False
Caco2,absorption,ecfp,random,hgb,shap,lime,0.0285370395930958,0.0187331714741005,0.0364680137933834,0.02386128624629,0.0898277147116156,0.057901084014284,10,False
Caco2,absorption,ecfp,random,mlp,ig,lime,0.0364155760730139,0.0201374993481062,0.0543717035071672,0.0300132067733815,0.1492675410245069,0.1788029426699325,10,False
HIA,absorption,ecfp,scaffold,rf,shap,lime,0.0131953446801422,0.018425734478746,0.0187350620177635,0.0261371781099461,0.0778478530413515,0.1178620183811019,10,False
HIA,absorption,ecfp,scaffold,hgb,shap,lime,0.0227859087972909,0.0173614160254518,0.0283020295310278,0.0215430610027952,0.021345029239766,0.0315071199591257,10,False
HIA,absorption,ecfp,scaffold,mlp,ig,lime,0.0228612967797445,0.0140873014576293,0.0341892968648668,0.0209415006600297,0.0618330399677148,0.1512677918220759,10,False
HIA,absorption,ecfp,random,rf,shap,lime,0.0103574040379506,0.0198264325748201,0.0147841702392205,0.0281893703486043,0.1143475518862515,0.1012568829882248,10,False
HIA,absorption,ecfp,random,hgb,shap,lime,0.0272377660962656,0.0151394469531248,0.0338254512918961,0.0187616233225587,0.0442839123953675,0.0430836407971953,10,False
HIA,absorption,ecfp,random,mlp,ig,lime,0.0271022729910016,0.0152036377636678,0.0405244293268805,0.0226541787122286,0.0169869117237538,0.0592230387230146,10,False
BBB,distribution,ecfp,scaffold,rf,shap,lime,0.0180322311731505,0.0182614175686578,0.0268335131282305,0.0269729132295427,0.0679609563123495,0.0499769733519778,10,False
BBB,distribution,ecfp,scaffold,hgb,shap,lime,0.0168951656761682,0.0162069192048525,0.0221912751534599,0.0212571442796628,0.0168615984405458,0.0286309257167474,10,False
BBB,distribution,ecfp,scaffold,mlp,ig,lime,0.0232110647718124,0.0140429847554993,0.0347515380980479,0.0210653617014265,0.0096491228070175,0.0203652399407787,10,False
BBB,distribution,ecfp,random,rf,shap,lime,0.0181883666513292,0.0167309244560352,0.027173552157173,0.0249153431673761,0.1161979704162366,0.0767178035704305,10,False
BBB,distribution,ecfp,random,hgb,shap,lime,0.0110752477627818,0.0153369247965507,0.0145841669405781,0.0201404183303635,0.0187306501547987,0.031610422607029,10,False
BBB,distribution,ecfp,random,mlp,ig,lime,0.0217012564985292,0.0164745271359158,0.032601151562506,0.0247438701256149,0.0126877651645453,0.0312941774016229,10,False
VDss,distribution,ecfp,scaffold,rf,shap,lime,0.0031531007555965,0.0156522638281175,0.0045980998630516,0.02287645566858,0.1167067996789359,0.0419559078062319,10,False
VDss,distribution,ecfp,scaffold,hgb,shap,lime,0.0203341744162025,0.0187816181816701,0.0259558650908719,0.0239214922413249,0.089250085999312,0.0379155313225035,10,False
VDss,distribution,ecfp,scaffold,mlp,ig,lime,0.0304734452494223,0.0186303461919559,0.0456109861821797,0.0278150790939939,0.0121588693957115,0.0377195737053674,10,False
VDss,distribution,ecfp,random,rf,shap,lime,0.005808451248625,0.0160552870180214,0.0084549179826119,0.0234648081347416,0.1191018805182891,0.0294962483002712,10,False
VDss,distribution,ecfp,random,hgb,shap,lime,0.0218059903766996,0.0150240754645174,0.0278418215450284,0.0191701551748342,0.0599931200550395,0.0441656029111736,10,False
VDss,distribution,ecfp,random,mlp,ig,lime,0.0240462049101858,0.0200330055870998,0.0360467345359026,0.0300503796937125,0.0088693957115009,0.0222809234604623,10,False
CYP2C9-Sub,metabolism,ecfp,scaffold,hgb,shap,lime,0.032372453582928,0.0168143573446526,0.0404875513390414,0.0209784946431093,0.0415376676986584,0.04242294719349,10,False
CYP2C9-Sub,metabolism,ecfp,scaffold,mlp,ig,lime,0.0245560654199909,0.013859288013693,0.0367671380153894,0.020667891529041,0.0061403508771929,0.0168959300739107,10,False
CYP2C9-Sub,metabolism,ecfp,random,rf,shap,lime,0.0216102512361153,0.0145389746751321,0.031473274257819,0.0211107178200244,0.1967964468738462,0.1230804766404018,10,False
CYP2C9-Sub,metabolism,ecfp,random,hgb,shap,lime,0.0265200882974641,0.0187286486728117,0.0331818025125102,0.0234014907680549,0.0185185185185185,0.0272032860369451,10,False
CYP2C9-Sub,metabolism,ecfp,random,mlp,ig,lime,0.0218520433611461,0.0158295296555408,0.0327442304999043,0.0236482886306734,0.0459483298492586,0.1192090992678617,10,False
CYP3A4-Sub,metabolism,ecfp,scaffold,rf,shap,lime,0.0176487552011858,0.0149240931403317,0.0260537934487326,0.0219245075649556,0.1291910331384015,0.0640083802578702,10,False
