endpoint,category,task,representation,split,model,method,n_explained,faith_mean,faith_lo,faith_hi,null_faith_mean,faith_vs_null,beats_null_p,beats_null,stab_mean,stab_lo,stab_hi,stab_worst,sanity_sim,sanity_passed,primary_perf,perf_metric
hERG,toxicity,classification,descriptors,random,rf,lime,60,0.0459657521116828,0.0237104406030498,0.0705014136856785,0.0141817455946006,0.0317840065170821,0.0025,True,0.0709093600524545,0.0485532288978113,0.1024590170616058,0.2250045830549083,0.0785917454680402,True,0.848062015503876,AUROC
hERG,toxicity,classification,descriptors,random,rf,random,60,0.0141817455946006,0.0040542262617344,0.024889325725675,0.0141817455946006,-3.2959746043559335e-17,,False,1.472306342546936,1.4370791717894869,1.5086122375846398,1.597035455495096,1.0,False,0.848062015503876,AUROC
hERG,toxicity,classification,descriptors,random,hgb,shap,60,0.2392398620312235,0.1480374334973622,0.3352645758255453,0.0177461632531069,0.2214936987781165,0.0,True,0.3490379104799149,0.2593836476712709,0.438101865954412,0.6534491186554167,0.7549036007715486,False,0.8266149870801034,AUROC
hERG,toxicity,classification,descriptors,random,hgb,lime,60,0.0477195259145135,0.0187160140021826,0.0890837458204921,0.0177461632531069,0.0299733626614066,0.05,False,0.0205807924859962,0.0119856061194342,0.0311751056422382,0.0671478469096184,0.0454721114383736,True,0.8266149870801034,AUROC
hERG,toxicity,classification,descriptors,random,hgb,random,60,0.0177461632531069,-0.0002112784695183,0.0395216742539061,0.0177461632531069,0.0,,False,1.4671517293296938,1.4375494157890123,1.4952538819863357,1.5771356094314315,1.0,False,0.8266149870801034,AUROC
hERG,toxicity,classification,descriptors,random,mlp,ig,60,0.204265762037701,0.146081197882692,0.2680135072726342,0.0090684748358196,0.1951972872018814,0.0,True,0.1024036593527346,0.0794284818547502,0.1200894760093132,0.1506127311814352,0.5750478428811594,False,0.8498708010335917,AUROC
hERG,toxicity,classification,descriptors,random,mlp,lime,60,0.0530537285738521,0.0236896157264709,0.0934883704988492,0.0090684748358196,0.0439852537380324,0.005,True,0.0138362418545977,0.0113507758076465,0.0164195288682996,0.0210592560295443,0.0580007860564238,True,0.8498708010335917,AUROC
hERG,toxicity,classification,descriptors,random,mlp,random,60,0.0090684748358196,-0.0027850972778267,0.0225501391208834,0.0090684748358196,0.0,,False,1.45839016910552,1.4278493569818065,1.4851429222867056,1.5224500552962303,1.0,False,0.8498708010335917,AUROC
AMES,toxicity,classification,descriptors,scaffold,rf,shap,60,0.2065671514812342,0.172485318444466,0.2472602920905846,0.0470349659325365,0.1595321855486977,0.0,True,0.667132846894959,0.5086333663693505,0.8665751690069724,1.6664988268770384,0.6746325552665063,False,0.8596064411114988,AUROC
AMES,toxicity,classification,descriptors,scaffold,rf,lime,60,0.1130652445593997,0.0844007260568672,0.1417484338795608,0.0470349659325365,0.0660302786268632,0.0,True,0.4266479060620223,0.2374810016518,0.7528865765193896,1.991470357785162,0.0553722728774519,True,0.8596064411114988,AUROC
AMES,toxicity,classification,descriptors,scaffold,rf,random,60,0.0470349659325365,0.0333939030629235,0.0597917559212617,0.0470349659325365,0.0,,False,1.50141139764631,1.4629267165586357,1.541866458568317,1.6679553971557284,1.0,False,0.8596064411114988,AUROC
AMES,toxicity,classification,descriptors,scaffold,hgb,shap,60,0.3866565094529547,0.322635623336278,0.4500783471369072,0.0647576655757655,0.3218988438771891,0.0,True,0.4644661650219284,0.3914837327771918,0.5410989271935995,0.7288130056970133,0.6852959102126814,False,0.8607535945432702,AUROC
AMES,toxicity,classification,descriptors,scaffold,hgb,lime,60,0.1142532550028274,0.0794520626277283,0.1455383703137337,0.0647576655757655,0.0494955894270619,0.0075,True,0.7263959283989013,0.2503756270919733,1.202367260979689,2.008068002030038,0.0570091923191952,True,0.8607535945432702,AUROC
AMES,toxicity,classification,descriptors,scaffold,hgb,random,60,0.0647576655757655,0.039897268221537,0.092241241180639,0.0647576655757655,0.0,,False,1.4532643884779084,1.4238015016249526,1.4875700316974785,1.5853784013323065,1.0,False,0.8607535945432702,AUROC
AMES,toxicity,classification,descriptors,scaffold,mlp,ig,60,0.3166454954279794,0.2509689355724387,0.3851325304309526,0.0756542142894533,0.2409912811385261,0.0,True,0.1543668122445347,0.1287845575890292,0.1853469910104112,0.2795331309253139,0.5654513710487967,False,0.8372456691082433,AUROC
