endpoint,model,primary,faith,null,faithful,consensus,stability
hERG,rf,shap,-0.030124333342798848,0.001146953405017766,0,0.3934277073887641,0.4235105801157558
hERG,rf,shap,-0.03147995273890677,-0.004301103631349945,0,0.21606415366973603,0.14672477412725105
hERG,rf,shap,0.49063674642191496,0.04784025679108702,1,0.2778340284036049,0.14386724428697978
hERG,rf,shap,0.45276947490769165,-0.00257316278575892,1,0.25528756006159836,0.1745354058245344
hERG,rf,shap,0.02676520495925394,0.007091502077932484,1,0.42586579108200423,0.25489205669478
hERG,rf,shap,0.5351496400342323,0.04469780055256989,1,0.24085575259386824,0.16060294139915612
hERG,rf,shap,0.29798039457398484,0.019293015665231766,1,0.26100671007404624,0.518506212289339
hERG,rf,shap,0.056092317378490776,0.015196662461355315,1,0.390867130673043,0.4928481069806063
hERG,rf,shap,0.167882586781379,-0.04922098629073498,1,0.25930200862210256,0.30309573815838986
hERG,rf,shap,0.02305952737975714,-0.004220772196173746,1,0.32421107169476776,0.26063133899587076
hERG,rf,shap,-0.021465003877319866,0.007288436917785653,0,0.3835578266873313,0.27235208867858673
hERG,rf,shap,0.013915707119426357,0.005162683029437602,1,0.40060954059050896,0.44163363395999844
hERG,rf,shap,0.6405034025653751,0.005448028673835019,1,0.17645657265707043,0.18336135804766168
hERG,rf,shap,0.03350434087679851,0.003323911193871728,1,0.44766799452407524,0.21861223216613793
hERG,rf,shap,-0.19179978670384337,-0.04955764769938017,0,0.2501834418962163,0.19128656193741217
hERG,rf,shap,-0.09728582009159774,0.004458164261430271,0,0.3468121703727601,0.14583477714856366
hERG,rf,shap,-0.019430144042703268,0.00923429071548354,0,0.3123791982815872,1.2218340331445163
hERG,rf,shap,0.6922374548676208,0.10461256031503163,1,0.21454390302961535,0.22422649089667115
hERG,rf,shap,-0.08204949449312356,-0.025715495613481076,0,0.2867129265587147,0.6475391543334079
hERG,rf,shap,0.08571132257116047,0.09611385896480933,0,0.4217009622417972,0.18318629565147115
hERG,rf,shap,-0.16009536761718587,0.0049345002947857415,0,0.250185204165119,0.16125804568576946
hERG,rf,shap,-0.33126650028778676,-0.02573716811841546,0,0.31673141504845514,0.6739982085753972
hERG,rf,shap,-0.3526748002079619,-0.006410163010220682,0,0.31354582029521927,0.09162841622894095
hERG,rf,shap,-0.11696037018833842,-0.032984465578517974,0,0.26780848061576096,0.3810361114882696
hERG,rf,shap,0.3349698337178737,0.07840452068205776,1,0.355945422672836,0.2744001440013722
hERG,rf,shap,-0.4007885047623853,-0.0114058934210061,0,0.36022597383765814,0.10834566966517743
hERG,rf,shap,0.7439170694435768,0.10277314419414674,1,0.3304230695770229,0.1254699383247023
hERG,rf,shap,-0.2765602254031934,-0.03478036540718795,0,0.3244501528425765,0.24868314715297088
hERG,rf,shap,0.5021705940615434,0.07794965899766415,1,0.28394968891917544,0.15619223944825797
hERG,rf,shap,-0.107901216229085,-0.013266065877653813,0,0.2767308480704724,0.4142260298328844
hERG,rf,shap,0.08230440261899974,0.06903276916190153,1,0.2915133470498532,0.22120346363354446
hERG,rf,shap,-0.14932508694945434,-0.04583802462554779,0,0.3284951473973953,0.287231277998451
hERG,rf,shap,0.5866424174547816,0.11474453938870725,1,0.2902903324313326,0.14872554185299694
hERG,rf,shap,0.02905788513648751,0.009440329404200845,1,0.29577921264048557,0.2705812923200775
hERG,rf,shap,-0.14771935962074847,0.004896614736429587,0,0.34439962424487136,0.3323301667756425
hERG,rf,shap,-0.13553749799656264,0.0005482721465949192,0,0.29099876453024515,0.313002623181426
hERG,rf,shap,-0.061797666911273086,-0.0044811799416623055,0,0.366564267657945,0.2075387575721136
hERG,rf,shap,0.5475986329864063,0.06304157351936952,1,0.32855154000228387,0.3060820197800537
hERG,rf,shap,-0.05846721677229957,-0.007213878898892097,0,0.3207094433849689,0.6316775298351234
hERG,rf,shap,0.005546287746136673,0.033987249731070146,0,0.17863121248308544,0.12345996316980655
hERG,rf,shap,0.5015626083109082,0.14596626789427464,1,0.15128961045664877,0.17708573960742302
hERG,rf,shap,-0.08674096543950165,-0.0031196617758812994,0,0.3441781657860903,0.7186552666876622
hERG,rf,shap,0.5271075281108993,0.022638888888888875,1,0.3305382044786703,0.1571104115082294
hERG,rf,shap,0.01215977606506465,0.004498190670677767,1,0.4032529439446601,0.2951797218171509
hERG,rf,shap,0.022996322762064425,0.0003882495209767134,1,0.3030397605198874,0.2998210423701582
hERG,rf,shap,0.03437704765198076,0.017829505461747257,1,0.33456851345929955,0.4061162801681559
hERG,rf,shap,-0.128929262616575,-0.03024482536058722,0,0.3134770918080113,0.19569762609557148
hERG,rf,shap,-0.021523514349364465,-0.00474763126722096,0,0.3288164677606666,0.3164203482633416
hERG,rf,shap,0.02598680944092735,0.007540119823349604,1,0.35632548533286623,0.17968009246426134
hERG,rf,shap,0.480579744689649,0.08709658538287317,1,0.28188078522732646,0.1879332527342569
hERG,rf,shap,0.5151409963833326,0.0954770383937051,1,0.3824693319283886,0.1223947131472476
hERG,rf,shap,-0.09183464859566715,-0.04377939965272112,0,0.33409152600961717,0.3007000764123169
hERG,rf,shap,-0.024150914149970875,-0.003002459737309504,0,0.19404284146075423,0.39234510384928983
hERG,rf,shap,-0.21422459331897306,-0.02092184587753861,0,0.3099971981480132,0.2765032081796036
hERG,rf,shap,0.024416903961303138,0.018983348476785917,1,0.2720238278311806,0.4356072508533031
hERG,rf,shap,-0.16157412474155833,-0.01895292023953073,0,0.2964682597814676,0.24594546101392947
hERG,rf,shap,-0.2612662126720917,-0.04330571275849715,0,0.33775175852066514,2.1532902041912045
hERG,rf,shap,0.029295315150227836,0.007840785577694928,1,0.4444847494627097,0.10841046889972836
hERG,mlp,ig,0.02460038661956787,0.0001577138900756836,1,0.34957686339436467,0.0720336628546337
hERG,mlp,ig,0.5179509520530701,0.014160096645355225,1,0.1883075170731735,0.2066235590700384
hERG,mlp,ig,0.7456590334574381,0.08499519030253093,1,0.29481587985137614,0.14576687214275613
hERG,mlp,ig,0.8292346994082133,0.016535600026448567,1,0.2019422477263511,0.1309616307364402
hERG,mlp,ig,0.9893968105316162,0.12852720419565836,1,0.2602278628896441,0.05159995048127845
hERG,mlp,ig,0.020807266235351562,1.2715657552083333e-06,1,0.2288417568632782,0.10007315057017478
hERG,mlp,ig,-0.003534535566965739,0.0038724939028422036,0,0.1955656981035924,0.13477485332777214
hERG,mlp,ig,0.017751872539520264,3.2226244608561196e-05,1,0.3853553874195472,0.13130816133939563
hERG,mlp,ig,0.004855056603749593,5.960464477539062e-07,1,0.25911471386005447,0.06688503477803022
hERG,mlp,ig,0.04304031531016032,1.3987223307291666e-05,1,0.2605984131316321,0.0853267800150903
