endpoint,category,task,representation,split,model,n_train,n_test,auroc,auprc,mae,r2,spearman,primary_metric,primary_value,cleared_floor
CYP2C9-Sub,metabolism,classification,descriptors,random,rf,535,134,0.6638176638176638,0.27968436202629376,,,,AUROC,0.6638176638176638,True
CYP2C9-Sub,metabolism,classification,descriptors,random,hgb,535,134,0.6663105413105413,0.29108721653488207,,,,AUROC,0.6663105413105413,True
CYP2C9-Sub,metabolism,classification,descriptors,random,mlp,535,134,0.6378205128205129,0.3212143037749319,,,,AUROC,0.6378205128205129,True
CYP2C9-Sub,metabolism,classification,ecfp,scaffold,rf,534,135,0.4845463609172483,0.25102443154726584,,,,AUROC,0.4845463609172483,False
CYP2C9-Sub,metabolism,classification,ecfp,scaffold,hgb,534,135,0.6859421734795612,0.37006410106365356,,,,AUROC,0.6859421734795612,True
CYP2C9-Sub,metabolism,classification,ecfp,scaffold,mlp,534,135,0.6909272183449652,0.3055149039556705,,,,AUROC,0.6909272183449652,True
CYP2C9-Sub,metabolism,classification,ecfp,random,rf,535,134,0.6467236467236468,0.2719073502803363,,,,AUROC,0.6467236467236468,True
CYP2C9-Sub,metabolism,classification,ecfp,random,hgb,535,134,0.67752849002849,0.369744586444223,,,,AUROC,0.67752849002849,True
CYP2C9-Sub,metabolism,classification,ecfp,random,mlp,535,134,0.6570512820512822,0.2967926561171913,,,,AUROC,0.6570512820512822,True
CYP3A4-Sub,metabolism,classification,descriptors,scaffold,rf,535,135,0.6502548656163114,0.7486715837878585,,,,AUROC,0.6502548656163114,True
CYP3A4-Sub,metabolism,classification,descriptors,scaffold,hgb,535,135,0.6574374420759963,0.7462751111474539,,,,AUROC,0.6574374420759963,True
CYP3A4-Sub,metabolism,classification,descriptors,scaffold,mlp,535,135,0.6338044485634846,0.7030507965502495,,,,AUROC,0.6338044485634846,True
CYP3A4-Sub,metabolism,classification,descriptors,random,rf,536,134,0.6909909909909909,0.5989192622409135,,,,AUROC,0.6909909909909909,True
CYP3A4-Sub,metabolism,classification,descriptors,random,hgb,536,134,0.6727477477477477,0.6169298256918894,,,,AUROC,0.6727477477477477,True
CYP3A4-Sub,metabolism,classification,descriptors,random,mlp,536,134,0.647072072072072,0.5791884294800552,,,,AUROC,0.647072072072072,True
CYP3A4-Sub,metabolism,classification,ecfp,scaffold,rf,535,135,0.6857043558850788,0.7609671089562331,,,,AUROC,0.6857043558850788,True
CYP3A4-Sub,metabolism,classification,ecfp,scaffold,hgb,535,135,0.6629981464318815,0.7628059820463471,,,,AUROC,0.6629981464318815,True
CYP3A4-Sub,metabolism,classification,ecfp,scaffold,mlp,535,135,0.6731927710843374,0.7776392634947034,,,,AUROC,0.6731927710843374,True
CYP3A4-Sub,metabolism,classification,ecfp,random,rf,536,134,0.6430180180180181,0.5813397876507986,,,,AUROC,0.6430180180180181,True
CYP3A4-Sub,metabolism,classification,ecfp,random,hgb,536,134,0.6297297297297296,0.5512271435310161,,,,AUROC,0.6297297297297296,True
CYP3A4-Sub,metabolism,classification,ecfp,random,mlp,536,134,0.6509009009009009,0.5957404822104028,,,,AUROC,0.6509009009009009,True
HalfLife,excretion,regression,descriptors,scaffold,rf,532,135,,,23.50855351795765,-19.57127835421295,0.42490768298032855,Spearman,0.42490768298032855,True
HalfLife,excretion,regression,descriptors,scaffold,hgb,532,135,,,35.28827290241912,-13.88850765392758,0.24131425515309488,Spearman,0.24131425515309488,True
HalfLife,excretion,regression,descriptors,scaffold,mlp,532,135,,,95.02882605787556,-2255.5110681731444,0.5126578777393634,Spearman,0.5126578777393634,True
HalfLife,excretion,regression,descriptors,random,rf,534,133,,,33.8331725550198,-0.01948196303510419,0.373251949798465,Spearman,0.373251949798465,True
HalfLife,excretion,regression,descriptors,random,hgb,534,133,,,35.79124679427598,0.13848052724952997,0.2559333352941522,Spearman,0.2559333352941522,True
HalfLife,excretion,regression,descriptors,random,mlp,534,133,,,88.3401874289768,-35.49446739707195,0.38436806324825834,Spearman,0.38436806324825834,True
HalfLife,excretion,regression,ecfp,scaffold,rf,532,135,,,25.903141683639436,-8.600834998196184,0.17017825565357173,Spearman,0.17017825565357173,True
HalfLife,excretion,regression,ecfp,scaffold,hgb,532,135,,,30.320063671026972,-8.107384484818661,0.08518311272979827,Spearman,0.08518311272979827,False
HalfLife,excretion,regression,ecfp,scaffold,mlp,532,135,,,32.90536894773775,-7.736658296413214,0.16256709298565977,Spearman,0.16256709298565977,True
HalfLife,excretion,regression,ecfp,random,rf,534,133,,,35.9833564789148,0.06557776110412916,0.27579900384413825,Spearman,0.27579900384413825,True
HalfLife,excretion,regression,ecfp,random,hgb,534,133,,,36.85250090777094,0.0236413020813675,0.11232186323745905,Spearman,0.11232186323745905,True
HalfLife,excretion,regression,ecfp,random,mlp,534,133,,,45.44870924087395,0.17492250895587313,0.14022678680642253,Spearman,0.14022678680642253,True
CL-Hepa,excretion,regression,descriptors,scaffold,rf,970,243,,,38.43084959691425,0.15453189066326367,0.4084953885927966,Spearman,0.4084953885927966,True
CL-Hepa,excretion,regression,descriptors,scaffold,hgb,970,243,,,37.9428835782673,0.14137547751492752,0.38598198062370526,Spearman,0.38598198062370526,True
CL-Hepa,excretion,regression,descriptors,scaffold,mlp,970,243,,,36.96658219435578,0.1412616262133819,0.4160093738952767,Spearman,0.4160093738952767,True
CL-Hepa,excretion,regression,descriptors,random,rf,970,243,,,34.85402223450039,0.11731620953640998,0.42049974956294,Spearman,0.42049974956294,True
CL-Hepa,excretion,regression,descriptors,random,hgb,970,243,,,35.17111041282284,-0.014687703862338308,0.38830000825512395,Spearman,0.38830000825512395,True
CL-Hepa,excretion,regression,descriptors,random,mlp,970,243,,,34.266519922229,0.1925695194737822,0.4131726612893251,Spearman,0.4131726612893251,True
CL-Hepa,excretion,regression,ecfp,scaffold,rf,970,243,,,38.99612282314401,0.10023136878753802,0.41761575460293626,Spearman,0.41761575460293626,True
CL-Hepa,excretion,regression,ecfp,scaffold,hgb,970,243,,,38.89081550178075,0.06921937314730253,0.3733256903266577,Spearman,0.3733256903266577,True
CL-Hepa,excretion,regression,ecfp,scaffold,mlp,970,243,,,37.20290492030328,0.009724266423774108,0.31908540174625616,Spearman,0.31908540174625616,True
CL-Hepa,excretion,regression,ecfp,random,rf,970,243,,,34.17876977854156,0.1464212716045723,0.34684908361444194,Spearman,0.34684908361444194,True
CL-Hepa,excretion,regression,ecfp,random,hgb,970,243,,,37.73722067390747,-0.06911976596196201,0.3521307979908289,Spearman,0.3521307979908289,True
CL-Hepa,excretion,regression,ecfp,random,mlp,970,243,,,37.173446447378325,-0.12871139717702929,0.25915231390843163,Spearman,0.25915231390843163,True
