cell,faith,faithful,consensus,stability,conf,margin,knn_dist,attr_l2,attr_entropy
leukemia-rf,0.05555555555555547,1,0.015945664218886633,0.4072430768304876,0.7333333333333333,0.4666666666666666,83.5439033389021,0.03496622640583004,5.838938483543089
leukemia-rf,0.14444444444444446,1,0.04468547846708816,0.3192771471511078,0.8566666666666667,0.7133333333333334,96.10833969839105,0.03240370411959453,5.788802000390056
leukemia-rf,0.05111111111111111,1,0.05369488355319397,0.4873959902805935,0.76,0.52,114.44368195063456,0.033717895108784965,5.825804473797289
leukemia-rf,0.038888888888888896,1,0.031519008220530706,0.2663751863111129,0.7566666666666667,0.5133333333333334,117.90916788384432,0.03588815610950858,5.790170573726508
leukemia-rf,0.17666666666666664,1,0.012879721895640616,0.27795613536167363,0.89,0.78,86.18373899692669,0.03324819030423896,5.760542454333324
leukemia-rf,0.24777777777777774,1,0.03728452882758398,0.276942785149367,0.96,0.9199999999999999,81.13495246987685,0.02938967602682395,5.791629529255774
leukemia-rf,-0.15222222222222218,0,0.022304501813825133,0.25334729059803357,0.56,0.12000000000000005,149.19149224130365,0.04393430447148653,5.768868769616419
leukemia-rf,0.19333333333333325,1,0.027024762897124823,0.22441442587268914,0.9066666666666666,0.8133333333333332,76.74519702481739,0.03167971010393608,5.749215983817869
leukemia-rf,0.2822222222222222,1,0.037984002200643116,0.2721608257608377,0.5733333333333334,0.14666666666666667,98.0739022283718,0.04832925555344171,5.648556077114717
leukemia-rf,0.4755555555555555,1,0.021827588735875883,0.44353729956933713,0.7633333333333333,0.5266666666666666,120.55523648408591,0.050863506519416145,5.699549575167091
leukemia-rf,0.48333333333333334,1,0.045115949038280215,0.16686141149263228,0.7733333333333333,0.5466666666666666,111.43902951413546,0.051633964045966894,5.651382295631086
leukemia-rf,0.0833333333333333,1,0.0391909614886505,0.39852357544249883,0.7933333333333333,0.5866666666666667,90.84258113965387,0.03440133796259664,5.757855039351378
leukemia-rf,0.4644444444444444,1,0.031057552867206874,0.24265964776516422,0.7533333333333333,0.5066666666666666,108.64942423871727,0.05296152473683707,5.656446174781545
leukemia-rf,0.062222222222222255,1,0.01671750893949904,0.5461115229836742,0.76,0.52,90.05146400335681,0.032750403289410486,5.846442579285233
leukemia-rf,-0.07333333333333329,0,0.0354725215906619,0.37914473584600955,0.6166666666666667,0.23333333333333334,76.30894954051041,0.03896166831187312,5.746987954195866
leukemia-rf,0.24777777777777774,1,0.024197613004326296,0.5956377255601492,0.5466666666666666,0.09333333333333332,93.96795352447747,0.040689740696657074,5.748183332173882
leukemia-rf,0.4777777777777778,1,0.04936485364399996,0.24753365226939728,0.7833333333333333,0.5666666666666667,111.46314412099282,0.04796537737684003,5.723127404755582
leukemia-rf,0.13888888888888895,1,0.040612473706066445,0.2739829642083374,0.8333333333333334,0.6666666666666667,103.0095942991406,0.03135287519364853,5.849728793874956
leukemia-rf,0.2255555555555556,1,0.0210862601758352,0.2745218323947643,0.9233333333333333,0.8466666666666667,80.86642692740413,0.027948645185437104,5.87053402646433
leukemia-rf,0.0822222222222222,1,0.045738547363723236,0.3511122772158593,0.7766666666666666,0.5533333333333332,95.87627864075179,0.03336528448734472,5.815515054428053
