mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
8,1017,0.8333333333333334,0.6329055726528168,0.33333333333333337,0.7415806609205902,0.5,0.7415806609205902,0.25,0.7415806609205902,0.5,0.7415806609205902,0.8333333333333334,0.6431899468104044
9,33,0.75,0.1306647708018621,0.5,0.10274706284205119,0.75,0.1306647708018621,0.5,0.10274706284205119,0.0,-0.1511591076850891,0.75,-0.045946985483169556
9,807,0.5,0.13660709063212076,0.5,0.23945693174997965,0.6666666666666667,0.13660709063212076,0.5,0.23945693174997965,0.5,0.2778903047243754,0.0,0.20342675844828287
9,650,0.0,0.2933307985464732,0.25,0.749412772556146,0.0,0.2933307985464732,0.25,0.749412772556146,0.25,0.749412772556146,0.75,0.7201191385587057
9,893,0.0,0.5074075109635791,0.25,0.6842455526348203,0.0,0.5074075109635791,0.25,0.6842455526348203,0.25,0.6842455526348203,0.5,0.6810912331566215
9,695,0.5,0.11515189924587806,0.75,0.11176545669635136,0.5,0.11515189924587806,0.75,0.11176545669635136,0.0,-0.08766701569159825,0.0,0.11117238489290078
9,1017,1.0,0.08495297158757846,0.5,0.12875077850185335,1.0,0.08495297158757846,0.5,0.12875077850185335,0.5,-0.062492364862312876,0.0,0.12654749024659395
9,11,0.75,0.0711566920702656,1.0,0.09429221972823143,0.75,0.0711566920702656,1.0,0.09429221972823143,0.75,-0.038961950999995075,0.75,0.0711566920702656
10,80,1.0,0.15587101380030313,1.0,0.15587101380030313,1.0,0.15587101380030313,0.9,0.08139880498250325,0.19999999999999996,-0.056199491024017334,0.04999999999999999,-0.033557116985321045
10,33,0.0,0.38009145855903625,0.0,0.34908632437388104,0.0,0.34908632437388104,0.0,0.20237784584363303,0.0,-0.19759847720464072,0.2142857142857143,0.3811514675617218
10,893,0.7142857142857142,0.006242528810010602,0.5714285714285714,0.005160268764787664,0.7142857142857142,0.006242528810010602,0.7142857142857142,0.006106978456955403,0.4285714285714286,-0.009619811860223612,0.2142857142857143,-0.0048639047890901566
10,695,0.11111111111111112,0.22521190034846464,0.33333333333333337,0.22506743421157202,0.0,0.22506743421157202,0.6111111111111112,0.17295342683792114,0.33333333333333337,0.22506747394800186,0.33333333333333337,0.1086619682610035
10,13,1.0,0.06904773546072344,0.39999999999999997,-0.04932788759469986,0.8,0.06519443138192098,0.39999999999999997,-0.049327912429968514,1.0,0.06904773468462129,0.55,0.05808186220626036
10,841,0.2857142857142857,0.005388267959157626,0.0,0.005756794940680265,0.4285714285714286,0.005756794940680265,0.0,0.005756794940680265,0.7142857142857142,0.008792130198950568,0.6428571428571428,0.004146399597326915
10,486,0.0,0.0005545410009896538,0.2857142857142857,0.0005451471139773881,0.0,0.0005451471139773881,0.2857142857142857,0.0005451471139773881,0.0,-0.001952198042999953,0.6428571428571429,0.0003079646752060701
10,1005,0.0,0.0009403174432615439,0.2857142857142857,0.0009403174432615439,0.0,0.0009403174432615439,0.2857142857142857,0.0012113781025012333,0.7142857142857143,-0.011041204445064068,0.35714285714285715,-0.004322554916143417
11,80,1.0,0.20699564615885416,0.6,-0.07991234461466472,0.8,-0.0022579431533813477,0.6,-0.07991234461466472,1.0,0.20699564615885416,1.0,0.24468305706977844
11,33,0.4,0.29057302077611286,0.0,0.2651531497637431,0.19999999999999996,0.2651531497637431,0.0,0.2651531497637431,0.19999999999999996,0.29057302077611286,0.4,0.13877602418263754
11,807,0.25,0.1424841284751892,0.75,0.2857543428738912,0.5,0.1509510080019633,0.75,0.2857543428738912,0.625,0.36793002486228943,0.625,0.08526798089345296
11,650,0.0,0.3842534398039182,0.4,0.7704976225892702,0.0,0.3842534398039182,0.19999999999999996,0.7704976225892702,0.8,0.7879826600352923,0.6,0.1506361166636149
11,893,0.0,0.5387660041451454,0.19999999999999996,0.6328879706561565,0.0,0.5523766263698539,0.19999999999999996,0.6328879706561565,0.6,0.6328879706561565,1.0,0.35034064451853436
11,389,0.19999999999999996,0.06349583901464939,0.4,0.08745981434670587,0.19999999999999996,0.06349583901464939,0.19999999999999996,0.06847233045846224,0.0,-0.09432380894819896,1.0,0.02153440269952019
11,128,0.6,0.2216494536648194,0.19999999999999996,0.2612484476218621,0.4,0.2216494536648194,0.19999999999999996,0.2612484476218621,0.6,0.2612484476218621,0.6,0.19432513664166132
