endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k
HIA,absorption,descriptors,random,hgb,lime,random,-0.0016882858280707744,0.04924270094829566,-0.0034173489855644354,0.07363841125449194,0.026917784657722734,0.03716553574857812,10
HIA,absorption,descriptors,random,mlp,ig,lime,0.10161574828714315,0.04891372867788353,0.1503018598116853,0.07208444870844598,0.06521471161564042,0.050707495720511635,10
HIA,absorption,descriptors,random,mlp,ig,random,-0.0002673557589569014,0.04959519622422452,0.0001578744428950817,0.07370653102976035,0.025782593739250084,0.04593277597213601,10
HIA,absorption,descriptors,random,mlp,lime,random,0.0029100529100529117,0.044179457345965595,0.0045450933324564565,0.06611120867399842,0.02231968810916179,0.0333126652977386,10
BBB,distribution,descriptors,scaffold,rf,shap,lime,0.11398073227820321,0.04438707506489894,0.16931543358272164,0.06397649548534252,0.2344448980671891,0.09649672034410994,10
BBB,distribution,descriptors,scaffold,rf,shap,random,-0.00034873469464208817,0.03506982772038465,-0.0010159980651724978,0.05265713228514233,0.025146198830409354,0.03661864843146963,10
BBB,distribution,descriptors,scaffold,rf,lime,random,-0.007819878249985777,0.04425428325445989,-0.01093123415556088,0.06659238354462294,0.0239766081871345,0.0318109304537056,10
BBB,distribution,descriptors,scaffold,hgb,shap,lime,0.04725049786836817,0.04356037761241825,0.06902971913536365,0.06333420021668128,0.05874326338722624,0.05112773465844381,10
BBB,distribution,descriptors,scaffold,hgb,shap,random,0.0035137270762631147,0.044019209967148976,0.005585140808531972,0.06450993054320206,0.025260864579750027,0.03858525636925922,10
BBB,distribution,descriptors,scaffold,hgb,lime,random,0.0007680491551459299,0.04742440209018663,0.0009076054873628115,0.07082269147481628,0.023001949317738794,0.029968818777353,10
BBB,distribution,descriptors,scaffold,mlp,ig,lime,0.09093056643939075,0.10059282184452009,0.1328849085961898,0.13676349433432708,0.07619252379314297,0.06511695602547354,10
BBB,distribution,descriptors,scaffold,mlp,ig,random,0.0013971588027644971,0.03951238961916754,0.0021866822941202135,0.058985050711442465,0.028752436647173488,0.03800857187142386,10
BBB,distribution,descriptors,scaffold,mlp,lime,random,-0.00023183705979405004,0.05103036146696342,-0.000627063985306069,0.07660483797751455,0.021247563352826508,0.029722461531253398,10
BBB,distribution,descriptors,random,rf,shap,lime,0.11391296608885454,0.05696101243606637,0.1681293879077807,0.0802823935240507,0.24629450070626543,0.10827926296925228,10
BBB,distribution,descriptors,random,rf,shap,random,0.006869259512563249,0.051255667373521344,0.01040777577092634,0.07592714491529211,0.031286549707602335,0.03629855228404168,10
BBB,distribution,descriptors,random,rf,lime,random,-0.0005191443363486371,0.040271494889412916,-0.0006805964633724321,0.05988587219605486,0.02748538011695906,0.03187536859628455,10
BBB,distribution,descriptors,random,hgb,shap,lime,0.05120028821867,0.04898617040050815,0.07478859817173325,0.07052031478537663,0.1091226054074351,0.09597262287946463,10
BBB,distribution,descriptors,random,hgb,shap,random,0.004595666492874195,0.03759648497623505,0.007167515163847096,0.05419015173444186,0.022027290448343076,0.027971860532788547,10
BBB,distribution,descriptors,random,hgb,lime,random,0.008663310007396032,0.04929540786926907,0.01298102895099048,0.07400580416427358,0.025048732943469786,0.03510544819592528,10
