ig_auc,occ_auc,random_auc
0.2727272727272727,1.0,0.7272727272727273
0.4,0.7999999999999999,0.35000000000000003
1.0,0.5,0.3333333333333333
0.0,0.25,0.75
0.0,0.25,0.25
0.5925925925925926,0.7407407407407408,0.6666666666666667
0.9500000000000001,0.9,0.39999999999999997
0.0,0.4,0.09999999999999998
1.0,0.33333333333333337,0.7333333333333334
0.0,1.0,1.0
0.2857142857142857,1.0,0.5714285714285714
0.19999999999999996,0.8,0.76
0.0,0.5555555555555556,0.33333333333333337
0.6666666666666667,0.5555555555555556,1.0
1.0,1.0,1.0
0.33333333333333337,1.0,0.33333333333333337
0.33333333333333337,0.6666666666666667,0.0
0.4666666666666667,0.4,0.6166666666666666
0.1428571428571429,1.0,0.35714285714285715
0.2857142857142857,1.0,0.5
0.8095238095238095,0.738095238095238,0.5
0.16666666666666663,0.8333333333333334,0.5
0.36363636363636365,0.8636363636363636,0.5909090909090908
0.5,1.0,0.3333333333333333
0.16666666666666663,0.6666666666666667,0.0
1.0,1.0,0.5
1.0,0.33333333333333337,0.41666666666666663
0.0,1.0,0.9
0.19999999999999996,1.0,0.19999999999999996
0.7361111111111112,0.6587301587301587,0.34325396825396826
0.24456521739130438,0.9402173913043479,0.45652173913043476
0.28274428274428276,0.44594594594594594,0.45322245322245325
0.8,1.0,0.45000000000000007
0.0,0.375,1.0
0.875,1.0,0.125
1.0,1.0,0.3125
0.6666666666666667,0.6666666666666667,0.9166666666666667
0.6666666666666667,0.6666666666666667,0.16666666666666663
1.0,0.6,0.42
0.0,1.0,0.4615384615384615
0.15384615384615385,1.0,0.5
0.3888888888888889,0.22222222222222227,0.9444444444444444
0.3333333333333333,1.0,0.375
