mol_idx,bit,n_atoms,n_gt,frac_gt,ig_auc,occ_auc,rand_auc,ig_faith,occ_faith,rand_faith
2,695,24,1,0.041666666666666664,0.04347826086956519,0.8260869565217391,0.34782608695652173,0.221509525552392,0.23612055058280626,0.09808322538932164
2,147,24,1,0.041666666666666664,0.4782608695652174,0.9130434782608696,0.8695652173913043,-0.04381731152534485,0.14029395580291748,0.10943923145532608
2,887,24,10,0.4166666666666667,0.9285714285714285,0.2642857142857143,0.39285714285714285,-0.0010273257891337078,0.0013396938641866047,0.0032399495442708335
2,794,24,1,0.041666666666666664,0.5652173913043479,0.4347826086956522,0.6086956521739131,-0.001694341500600179,0.01804588238398234,7.625420888264974e-05
2,591,24,1,0.041666666666666664,0.5652173913043479,0.9130434782608696,0.13043478260869568,-0.002027889092763265,0.07785063982009888,0.06158411502838135
2,13,24,1,0.041666666666666664,0.30434782608695654,0.04347826086956519,0.4347826086956522,-0.024168343904117744,-0.06364619297285874,0.011588340004285177
2,116,24,3,0.125,0.7619047619047619,0.19047619047619047,0.15873015873015872,0.006511072213778372,0.006514854307056339,0.0019364000763744116
2,119,24,8,0.3333333333333333,0.8671875,0.84375,0.4765625,0.48243094856540364,0.6842691540562859,0.15251674254735312
2,420,24,1,0.041666666666666664,0.7391304347826088,0.9130434782608696,0.8260869565217391,0.36140988891323406,0.7060644013302712,0.5263076821962992
2,362,24,1,0.041666666666666664,0.26086956521739135,1.0,0.8260869565217391,0.4029300866241101,0.42749480139658164,0.2546932560702165
2,710,24,1,0.041666666666666664,0.6521739130434783,0.34782608695652173,0.3913043478260869,0.01923617177332441,0.038960113478727486,0.02044598696132501
2,767,24,1,0.041666666666666664,0.4347826086956522,0.9130434782608696,0.8695652173913043,0.00013028002611766473,0.0001520711122056373,0.0001315631055073633
3,80,13,2,0.15384615384615385,0.7272727272727273,0.9090909090909091,0.5454545454545454,0.14958053827285767,0.5310101459423701,0.005965391794840495
3,807,13,7,0.5384615384615384,0.5,0.5952380952380952,0.40476190476190477,0.05030049880345663,0.015276610851287842,0.012730340162913004
3,650,13,3,0.23076923076923078,0.1,0.7999999999999999,0.3333333333333333,0.00047218799591064453,0.016800602277119953,3.321965535481771e-05
3,893,13,3,0.23076923076923078,0.0,0.8,0.9333333333333333,0.33384918173154193,0.09617692232131958,0.04466527700424194
3,389,13,3,0.23076923076923078,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.43073007340232533,0.7439524165044228,0.5878897358973821
3,114,13,1,0.07692307692307693,0.8333333333333334,1.0,0.41666666666666663,0.14983084226222823,0.17831778436208742,0.17279995186254382
3,540,13,1,0.07692307692307693,0.75,0.5833333333333333,0.5833333333333333,0.6459029229101058,0.7113465824707722,0.604274275402228
3,713,13,2,0.15384615384615385,0.7272727272727273,1.0,0.4545454545454546,0.6464188230068734,0.7168863403300444,0.35674428567290306
3,953,13,1,0.07692307692307693,0.75,0.75,0.8333333333333334,0.04416326404715557,0.013000312474711487,0.01600410571942727
4,80,10,6,0.6,1.0,0.25,0.4583333333333333,0.0003064076105753581,0.042124927043914795,0.010120769341786703
4,33,10,3,0.3,0.0,1.0,0.09523809523809523,-0.01013412078221639,0.04759939511617025,0.01598415772120158
4,294,10,3,0.3,0.1428571428571429,1.0,0.33333333333333337,-0.008552074432373047,0.3499469260374705,0.15111432472864786
4,794,10,3,0.3,0.5714285714285714,0.5714285714285714,0.47619047619047616,0.01656663417816162,0.5021755596001943,-0.03422170877456665
4,881,10,1,0.1,0.33333333333333337,1.0,0.4444444444444444,0.085472305615743,0.16874409218629202,0.1354645142952601
4,927,10,3,0.3,1.0,0.8571428571428571,0.7619047619047619,0.1492480238278707,0.16055311262607574,0.1341754049062729
4,251,10,1,0.1,0.6666666666666667,1.0,0.2222222222222222,0.0710930669059356,0.10309261735528708,-0.007804324229558309
4,674,10,3,0.3,1.0,0.8571428571428571,0.14285714285714285,0.008056440720489869,0.006198664506276448,-0.0009903799121578534
5,33,8,2,0.25,0.6666666666666667,1.0,0.5,0.07944939533869426,0.17795983950297037,0.17795983950297037
5,807,8,2,0.25,0.33333333333333337,0.75,0.5,0.4480138023694356,0.24376773834228516,0.18761181831359863
5,650,8,1,0.125,0.1428571428571429,1.0,0.8571428571428572,0.5186521112918854,0.43352043628692627,0.09322216113408406
5,893,8,1,0.125,0.0,0.8571428571428571,0.2857142857142857,0.6613004760195812,0.5266414086023966,0.739399716258049
5,1,8,2,0.25,0.9166666666666666,0.9166666666666667,0.0,0.6831382817278305,0.6831382817278305,0.6831382817278305
5,147,8,1,0.125,0.5714285714285714,0.4285714285714286,0.0,0.4321811944246292,0.49773019055525464,0.0063844720522562666
5,389,8,1,0.125,0.1428571428571429,0.4285714285714286,0.1428571428571429,0.6404780807206407,0.6404780807206407,0.050704360008239746
5,283,8,2,0.25,0.33333333333333337,0.33333333333333337,0.7500000000000001,0.5266490170421699,0.5266490170421699,0.03924248615900675
5,820,8,1,0.125,0.7142857142857143,0.8571428571428571,0.1428571428571429,0.5490618416297366,0.5490332588718351,0.5490332588718351
5,786,8,1,0.125,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5559303652068289,0.5558585701898361,-0.057064215342203774
5,1022,8,1,0.125,0.8571428571428572,0.7142857142857143,0.7142857142857143,0.12234673896697738,0.12320480146202802,0.1105236414199074
6,80,11,5,0.45454545454545453,0.9,0.43333333333333335,0.5666666666666667,0.004062195618947347,0.0974338452021281,-0.0024152000745137534
6,33,11,1,0.09090909090909091,0.30000000000000004,1.0,0.19999999999999996,0.06004933516184489,0.07622573773066203,0.08078479766845703
6,807,11,1,0.09090909090909091,0.19999999999999996,1.0,0.19999999999999996,0.019415040810902912,0.5827178855737051,0.09118421872456868
6,650,11,1,0.09090909090909091,0.19999999999999996,0.9,0.19999999999999996,0.40666987498601276,0.6533801456292471,0.11044092973073323
6,893,11,1,0.09090909090909091,0.0,0.8,0.30000000000000004,0.2195195953051249,0.774339169729501,0.6597554851323366
6,294,11,1,0.09090909090909091,0.6,1.0,0.7,0.0482719341913859,0.44137853384017944,0.15012133121490479
6,695,11,1,0.09090909090909091,0.30000000000000004,0.9,0.9,0.1969118987520536,0.2395461437602838,0.15838283548752466
6,147,11,1,0.09090909090909091,0.5,0.8,0.4,0.3575894112388293,0.4046647349993388,0.2824740757544835
6,887,11,2,0.18181818181818182,0.9444444444444444,0.5,0.6111111111111112,0.33027462661266327,0.5350255543986956,0.48286620279153186
6,694,11,1,0.09090909090909091,0.8,1.0,0.30000000000000004,-0.12191300590833028,-0.07577615976333618,-0.1903097927570343
6,794,11,1,0.09090909090909091,0.9,0.6,0.6,0.3299623305598895,0.619130564853549,0.2523797353108724
6,591,11,1,0.09090909090909091,0.9,0.8,0.09999999999999998,0.25787457420180243,0.3300310783088207,0.19544261756042638
6,342,11,1,0.09090909090909091,0.19999999999999996,0.30000000000000004,0.0,0.14233786147087812,0.19961215291793147,0.041250765323638916
6,540,11,1,0.09090909090909091,0.8,0.8,0.0,0.21695890401800474,0.31960532045923173,0.27556734159588814
6,420,11,1,0.09090909090909091,1.0,0.7,1.0,0.052059614254782595,0.05354075056190292,0.054388793898397125
6,621,11,1,0.09090909090909091,0.30000000000000004,0.8,0.6,0.034561242908239365,0.1213194044927756,0.05696110179026922
6,362,11,1,0.09090909090909091,0.6,1.0,0.30000000000000004,0.08346260401109855,-0.008033582397426168,-0.04118135819832484
6,243,11,1,0.09090909090909091,0.9,0.4,0.6,0.09619386835644643,0.11888641584664583,0.082430104414622
6,940,11,1,0.09090909090909091,0.5,0.7,0.0,0.04820634720575375,0.04842437556362711,0.02091742989917596
6,375,11,1,0.09090909090909091,0.8,0.8,0.4,0.034793726867064834,0.0034488354479738823,0.03310889865679201
6,677,11,1,0.09090909090909091,0.8,1.0,0.19999999999999996,0.0437419326287151,0.006339026382192969,0.01744324496636788
7,33,12,4,0.3333333333333333,0.1875,0.65625,0.59375,0.24919740358988443,-0.0046401868263880415,-0.21134422222773233
7,807,12,1,0.08333333333333333,1.0,0.9090909090909091,0.36363636363636365,0.20196173588434854,0.5085177260140578,0.01346824566523234
7,650,12,1,0.08333333333333333,0.4545454545454546,0.8181818181818182,0.0,0.020423094431559246,0.5854940845941504,0.02709348996480306
7,893,12,1,0.08333333333333333,0.6363636363636364,0.36363636363636365,1.0,0.7747955421606699,0.9482214763738739,0.33538105090459186
